No,Nama Animasi,Caption,Tags,"Kode HTML (full, siap dipakai)",STATUS
1,Floating Bubbles - Sunset,Gentle floating bubbles rising smoothly with CSS keyframe animation (Sunset color scheme).,#floatingbubbles #sunset #cssanimation #webdesign #frontend #htmlcss #uiux #purecss,"<!DOCTYPE html>
<html lang=""id"">
<head>
<meta charset=""UTF-8"">
<title>Floating Bubbles - Sunset</title>
<style>
html,body{margin:0;padding:0;width:100%;height:100%;overflow:hidden;background:#0b0b0f;}
.b{width:60px;height:60px;border-radius:50%;background:radial-gradient(circle at 30% 30%,#ff5e62,#ff9966);position:absolute;left:50%;animation:up 4s infinite ease-in-out}@keyframes up{0%{bottom:-60px;opacity:0}50%{opacity:1}100%{bottom:110%;opacity:0}}
</style>
</head>
<body>
<div class=""b""></div>

</body>
</html>",done
11,Pulsing Circle - Sunset,Rhythmic pulsing circle animation created with pure CSS scale transitions (Sunset color scheme).,#pulsingcircle #sunset #cssanimation #webdesign #frontend #htmlcss #uiux #purecss,"<!DOCTYPE html>
<html lang=""id"">
<head>
<meta charset=""UTF-8"">
<title>Pulsing Circle - Sunset</title>
<style>
html,body{margin:0;padding:0;width:100%;height:100%;overflow:hidden;background:#0b0b0f;}
.c{width:100px;height:100px;border-radius:50%;background:#ff5e62;margin:auto;position:relative;top:40vh;animation:p 2s infinite}@keyframes p{0%,100%{transform:scale(1);opacity:1}50%{transform:scale(1.4);opacity:.5}}
</style>
</head>
<body>
<div class=""c""></div>

</body>
</html>",done
21,Gradient Wave BG - Sunset,Smooth animated background gradient wave for modern website design (Sunset color scheme).,#gradientwavebg #sunset #cssanimation #webdesign #frontend #htmlcss #uiux #purecss,"<!DOCTYPE html>
<html lang=""id"">
<head>
<meta charset=""UTF-8"">
<title>Gradient Wave BG - Sunset</title>
<style>
html,body{margin:0;padding:0;width:100%;height:100%;overflow:hidden;background:#0b0b0f;}
.g{width:100%;height:100vh;background:linear-gradient(270deg,#ff5e62,#ff9966,#ffce54);background-size:600% 600%;animation:gw 8s ease infinite}@keyframes gw{0%{background-position:0% 50%}50%{background-position:100% 50%}100%{background-position:0% 50%}}
</style>
</head>
<body>
<div class=""g""></div>

</body>
</html>",pending
31,Rotating Cube 3D - Sunset,Interactive 3D rotating cube animation built with CSS 3D transforms (Sunset color scheme).,#rotatingcube3d #sunset #cssanimation #webdesign #frontend #htmlcss #uiux #purecss,"<!DOCTYPE html>
<html lang=""id"">
<head>
<meta charset=""UTF-8"">
<title>Rotating Cube 3D - Sunset</title>
<style>
html,body{margin:0;padding:0;width:100%;height:100%;overflow:hidden;background:#0b0b0f;}
.cube{perspective:600px;height:100vh;display:flex}.cube div{width:100px;height:100px;background:#ff5e62;margin:auto;animation:r 4s linear infinite}@keyframes r{0%{transform:rotateX(0) rotateY(0)}100%{transform:rotateX(360deg) rotateY(360deg)}}
</style>
</head>
<body>
<div class=""cube""><div></div></div>

</body>
</html>",pending
41,Starfield Drift - Sunset,Animated starfield drift simulating movement through space with HTML5 Canvas (Sunset color scheme).,#starfield #space #canvas #sunset,"<!DOCTYPE html>
<html lang=""id"">
<head>
<meta charset=""UTF-8"">
<title>Starfield Drift - Sunset</title>
<style>
html,body{margin:0;padding:0;width:100%;height:100%;overflow:hidden;background:#0b0b0f;}
canvas{display:block}
</style>
</head>
<body>
<canvas id=""s""></canvas>
<script>let c=document.getElementById('s'),x=c.getContext('2d');c.width=innerWidth;c.height=innerHeight;let st=[...Array(150)].map(()=>({x:Math.random()*c.width,y:Math.random()*c.height,z:Math.random()*c.width}));function a(){x.fillStyle='rgba(0,0,0,0.3)';x.fillRect(0,0,c.width,c.height);st.forEach(s=>{s.z-=4;if(s.z<=0)s.z=c.width;let k=128/s.z,px=(s.x-c.width/2)*k+c.width/2,py=(s.y-c.height/2)*k+c.height/2;x.fillStyle='#ff5e62';x.fillRect(px,py,2,2)});requestAnimationFrame(a)}a()</script>
</body>
</html>",pending
51,Blob Morph - Sunset,Smooth morphing organic blob animation built with CSS keyframe animations (Sunset color scheme).,#blob #morph #organic #sunset,"<!DOCTYPE html>
<html lang=""id"">
<head>
<meta charset=""UTF-8"">
<title>Blob Morph - Sunset</title>
<style>
html,body{margin:0;padding:0;width:100%;height:100%;overflow:hidden;background:#0b0b0f;}
.m{width:200px;height:200px;background:#ff5e62;margin:auto;position:relative;top:30vh;animation:mo 6s ease-in-out infinite}@keyframes mo{0%,100%{border-radius:60% 40% 30% 70%/60% 30% 70% 40%}50%{border-radius:30% 60% 70% 40%/50% 60% 30% 60%}}
</style>
</head>
<body>
<div class=""m""></div>

</body>
</html>",pending
61,Aurora Gradient - Sunset,Smooth ambient aurora gradient background animation with CSS keyframe animations (Sunset color scheme).,#aurora #northernlights #ambient #sunset,"<!DOCTYPE html>
<html lang=""id"">
<head>
<meta charset=""UTF-8"">
<title>Aurora Gradient - Sunset</title>
<style>
html,body{margin:0;padding:0;width:100%;height:100%;overflow:hidden;background:#0b0b0f;}
.au{width:100%;height:100vh;background:linear-gradient(120deg,#ff5e62,#ff9966,#ffce54);background-size:400% 400%;filter:blur(20px);animation:auf 10s ease infinite}@keyframes auf{0%{background-position:0% 0%}100%{background-position:100% 100%}}
</style>
</head>
<body>
<div class=""au""></div>

</body>
</html>",pending
71,Bouncing Ball - Sunset,Playful bouncing ball animation with realistic physics using CSS keyframe animations (Sunset color scheme).,#bounce #physics #playful #sunset,"<!DOCTYPE html>
<html lang=""id"">
<head>
<meta charset=""UTF-8"">
<title>Bouncing Ball - Sunset</title>
<style>
html,body{margin:0;padding:0;width:100%;height:100%;overflow:hidden;background:#0b0b0f;}
.ball{width:50px;height:50px;border-radius:50%;background:#ff5e62;margin:auto;position:relative;top:20vh;animation:bo 1s infinite cubic-bezier(.5,0,.5,1)}@keyframes bo{0%{transform:translateY(0)}50%{transform:translateY(-150px)}100%{transform:translateY(0)}}
</style>
</head>
<body>
<div class=""ball""></div>

</body>
</html>",pending
81,Ripple Rings - Sunset,Expanding ripple rings animation created with pure CSS scale transitions (Sunset color scheme).,#ripple #radar #wave #sunset,"<!DOCTYPE html>
<html lang=""id"">
<head>
<meta charset=""UTF-8"">
<title>Ripple Rings - Sunset</title>
<style>
html,body{margin:0;padding:0;width:100%;height:100%;overflow:hidden;background:#0b0b0f;}
.rp{width:20px;height:20px;border:4px solid #ff5e62;border-radius:50%;margin:auto;position:relative;top:40vh;animation:ri 2s infinite}@keyframes ri{0%{transform:scale(1);opacity:1}100%{transform:scale(10);opacity:0}}
</style>
</head>
<body>
<div class=""rp""></div>

</body>
</html>",pending
91,Matrix Rain - Sunset,Animated matrix rain effect simulating falling digital code with HTML5 Canvas (Sunset color scheme).,#matrix #digitalrain #tech #sunset,"<!DOCTYPE html>
<html lang=""id"">
<head>
<meta charset=""UTF-8"">
<title>Matrix Rain - Sunset</title>
<style>
html,body{margin:0;padding:0;width:100%;height:100%;overflow:hidden;background:#0b0b0f;}
canvas{display:block}
</style>
</head>
<body>
<canvas id=""mx""></canvas>
<script>let c=document.getElementById('mx'),x=c.getContext('2d');c.width=innerWidth;c.height=innerHeight;let cols=Math.floor(c.width/14),drops=Array(cols).fill(0);function d(){x.fillStyle='rgba(0,0,0,.05)';x.fillRect(0,0,c.width,c.height);x.fillStyle='#ff5e62';drops.forEach((y,i)=>{x.fillText(String.fromCharCode(33+Math.random()*94),i*14,y*14);if(y*14>c.height&&Math.random()>.975)drops[i]=0;drops[i]++})}setInterval(d,50)</script>
</body>
</html>",pending
101,Spinning Torus - Sunset,3D spinning torus animation rotating smoothly with CSS 3D transforms (Sunset color scheme).,#torus #ring #3d #sunset,"<!DOCTYPE html>
<html lang=""id"">
<head>
<meta charset=""UTF-8"">
<title>Spinning Torus - Sunset</title>
<style>
html,body{margin:0;padding:0;width:100%;height:100%;overflow:hidden;background:#0b0b0f;}
.t{perspective:500px;height:100vh;display:flex}.t div{width:120px;height:120px;border:20px solid #ff5e62;border-radius:50%;margin:auto;animation:tr 3s linear infinite}@keyframes tr{0%{transform:rotateY(0)}100%{transform:rotateY(360deg)}}
</style>
</head>
<body>
<div class=""t""><div></div></div>

</body>
</html>",pending
111,Fire Flicker - Sunset,Dynamic flickering fire flame animation created with CSS keyframe animations (Sunset color scheme).,#fire #flame #flicker #sunset,"<!DOCTYPE html>
<html lang=""id"">
<head>
<meta charset=""UTF-8"">
<title>Fire Flicker - Sunset</title>
<style>
html,body{margin:0;padding:0;width:100%;height:100%;overflow:hidden;background:#0b0b0f;}
.fi{width:80px;height:120px;background:radial-gradient(ellipse at bottom,#ff5e62,#ff9966,transparent);margin:auto;position:relative;top:35vh;animation:fl .3s infinite alternate}@keyframes fl{0%{transform:scaleY(1) scaleX(1)}100%{transform:scaleY(1.1) scaleX(.95)}}
</style>
</head>
<body>
<div class=""fi""></div>

</body>
</html>",pending
